id_bolide,date_heure,Latitude ,Longitude,Vitesse (km/s),Énergie totale rayonnée (J) ,
184,2012-02-04 14:42:51,32.4N,0.1E,12.2,15.0e10,32.4N 0.1E
185,2012-01-15 12:26:20,64.1S,109.9E,12.3,2.1e10,64.1S 109.9E
186,2012-01-11 02:23:15,32.2N,88.5E,,8.5e10,32.2N 88.5E
187,2011-12-19 11:35:39,30.2S,52.6E,,13.5e10,30.2S 52.6E
188,2011-12-14 05:01:38,62.9S,89.6E,,5.0e10,62.9S 89.6E
189,2011-12-11 17:29:33,,,,2.9e10, 
190,2011-11-20 05:25:05,27.9S,116.3E,,2.3e10,27.9S 116.3E
191,2011-10-12 07:13:20,26.4S,78.4W,,3.6e10,26.4S 78.4W
192,2011-09-13 23:36:47,19.9S,13.8W,16.7,6.7e10,19.9S 13.8W
193,2011-08-31 09:44:13,18.6N,5.1W,,2.7e10,18.6N 5.1W
194,2011-08-20 20:01:37,27.2S,2.8W,,2.3e10,27.2S 2.8W
195,2011-08-18 14:55:45,,,,2.3e10, 
196,2011-08-11 02:56:08,,,,3.5e10, 
197,2011-08-04 07:25:57,40.7S,86.7W,,2.8e10,40.7S 86.7W
198,2011-07-27 23:00:36,45.3S,63.5E,,4.4e10,45.3S 63.5E
199,2011-07-07 23:25:54,,,,3.3e10, 
200,2011-07-05 15:42:41,29.1N,139.7E,,6.5e10,29.1N 139.7E
201,2011-07-04 09:18:04,51.7S,175.0E,,2.9e10,51.7S 175.0E
202,2011-06-16 11:51:50,67.3N,21.4W,,2.4e10,67.3N 21.4W
203,2011-05-25 05:40:02,4.1N,14.0E,11.6,228.0e10,4.1N 14.0E
204,2011-05-16 13:39:06,1.2S,92.8E,,2.0e10,1.2S 92.8E
205,2011-04-27 20:38:09,1.4N,126.6W,,22.0e10,1.4N 126.6W
206,2011-04-27 11:21:44,,,,2.4e10, 
207,2011-04-17 11:21:44,,,,2.4e10, 
208,2011-04-06 08:30:55,71.1N,43.5W,12.7,14.8e10,71.1N 43.5W
209,2011-03-24 20:23:58,0.6N,127.5W,,5.8e10,0.6N 127.5W
210,2011-03-23 04:24:46,,,,3.1e10, 
211,2011-03-23 04:16:32,16.8S,85.6W,,2.2e10,16.8S 85.6W
212,2011-03-01 10:37:54,53.5N,103.9E,11.9,3.7e10,53.5N 103.9E
